"Name","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","discriminator_decay","discriminator_dim","discriminator_lr","discriminator_steps","dsr_epsilon","dsr_gamma_percentile","embedding_dim","epochs","generator_decay","generator_dim","generator_lr","method","metric.goal","metric.name","name","pac","parameters.batch_sizes","parameters.discriminator_decay.distribution","parameters.discriminator_decay.max","parameters.discriminator_decay.min","parameters.discriminator_dims","parameters.discriminator_lr.distribution","parameters.discriminator_lr.max","parameters.discriminator_lr.min","parameters.discriminator_steps.distribution","parameters.discriminator_steps.max","parameters.discriminator_steps.min","parameters.dsr_epsilon.distribution","parameters.dsr_epsilon.max","parameters.dsr_epsilon.min","parameters.dsr_gamma_percentile.distribution","parameters.dsr_gamma_percentile.max","parameters.dsr_gamma_percentile.min","parameters.embedding_dims","parameters.epochs.distribution","parameters.epochs.max","parameters.epochs.min","parameters.generator_decay.distribution","parameters.generator_decay.max","parameters.generator_decay.min","parameters.generator_dims","parameters.generator_lr.distribution","parameters.generator_lr.max","parameters.generator_lr.min","parameters.pac.distribution","parameters.pac.max","parameters.pac.min","Column Pair Trends","Column Shapes","Data Structure","Data Validity","Discriminator Loss","Generator Loss","Jensen Shannon Distance","Kolmogorov Smirnov Test"
"bumbling-sweep-39","","finished","-","","","2024-07-17T18:25:33.000Z","535","if2qo0y0","5000","0.01297484565963354","[512,256,128]","0.0009803133026140374","7","0.0003612981967695189","0.7461634199502563","256","444","0.03670989243063808","[128,256,512]","0.0009149854194195972","","","","","19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.536826902606848","0.7046231578947367","1","1","9.999926567077637","-0.9999969601631165","0.22590845473297055","0.73802"
"fancy-sweep-42","","finished","-","","","2024-07-17T18:40:58.000Z","953","if2qo0y0","5000","0.013791722912171372","[512,256,128]","0.0008508710119385114","14","0.0008507032044457597","0.8891747752305778","32","394","0.03566875091238461","[256,512,1048]","0.0005761018868131654","","","","","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.5363366332754143","0.7033163157894736","1","1","9.99997901916504","-1","0.22591169090661403","0.7359568421052631"
"stilted-sweep-38","","finished","-","","","2024-07-17T18:14:58.000Z","630","if2qo0y0","5000","0.010282464590883496","[512,256,128]","0.0008459661134934629","9","0.0007956839991775684","0.8911521077478912","32","382","0.03810861530981605","[256,512,1048]","0.0005873616863559636","","","","","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.5363462285177575","0.7027763157894736","1","1","9.997763633728027","-0.000014597454537579324","0.22591266509250432","0.7349431578947369"
"lucky-sweep-45","","finished","-","","","2024-07-17T19:20:48.000Z","1052","if2qo0y0","5000","0.008149839241067663","[1048,512,256]","0.0007196540940325175","8","0.0004116853659644626","0.7928981172082814","256","719","0.046759839706817546","[256,512,512]","0.0006101860939575162","","","","","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.5363928587053993","0.7023984210526314","1","1","9.99997901916504","-1","0.2259183058025924","0.7348268421052631"
"northern-sweep-36","","finished","-","","","2024-07-17T18:03:54.000Z","421","if2qo0y0","5000","0.006300910962198114","[512,256,128]","0.000840247885871457","3","0.0006457950728948424","0.7453006836090681","64","697","0.02548713776358258","[128,256,512]","0.0008069815975804079","","","","","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.536368286540549","0.7037184210526316","1","1","9.99997901916504","-1","0.22591887357005197","0.7358484210526316"
"treasured-sweep-18","","finished","-","","","2024-07-17T15:47:09.000Z","395","if2qo0y0","5000","0.02286018560564886","[512,256,128]","0.0006791007611379112","4","0.00009522168560003192","0.8158218151340637","256","487","0.04976305944250162","[256,512,512]","0.0009729706530062576","","","","","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.5365504571731025","0.703612105263158","1","1","9.99997901916504","-7.975536870470298e-15","0.22591939842510209","0.7369684210526316"
"pious-sweep-26","","finished","-","","","2024-07-17T16:37:25.000Z","1128","if2qo0y0","5000","0.012627847506587363","[512,256,128]","0.000516544279229379","13","0.0005133837175446378","0.8438829583701366","32","519","0.024243534284916914","[256,512,1048]","0.0001479118670954797","","","","","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.5364350685777693","0.703808947368421","1","1","9.99993896484375","-1.517435208597817e-7","0.225921121432697","0.7365547368421053"
"upbeat-sweep-50","","finished","-","","","2024-07-17T20:04:23.000Z","733","if2qo0y0","5000","0.0020735361282611833","[512,256,128]","0.0006566461893393856","6","0.000750974022409432","0.9205399517664812","256","746","0.049725548385679","[128,256,512]","0.0007092613004171327","","","","","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.5361068744466485","0.7035705263157894","1","1","9.99997901916504","-1","0.22592114420016873","0.7355794736842105"
"snowy-sweep-48","","finished","-","","","2024-07-17T19:53:26.000Z","387","if2qo0y0","5000","0.00157511541737026","[512,256,128]","0.0008635336116778116","7","0.0004256439968332346","0.9163543158620976","64","283","0.049171014523411744","[256,512,512]","0.00034808012825621453","","","","","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.5365382583503953","0.70407","1","1","9.999431610107422","-3.446899938808201e-7","0.22592465185578395","0.7370684210526315"
"smart-sweep-47","","finished","-","","","2024-07-17T19:47:41.000Z","339","if2qo0y0","5000","0.0030365780635245422","[512,512,256]","0.0008077946782290961","5","0.0004420518419331088","0.8445222015591806","256","310","0.043576782725553105","[256,512,512]","0.0009172715722927006","","","","","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.5362081921332263","0.701758947368421","1","1","9.99997901916504","-1.3618712277688185e-12","0.22592700631050708","0.7351731578947368"
