"Name","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","cat_embedding_dim","diffusion_beta_end","diffusion_beta_start","diffusion_steps","epochs","method","metric.goal","metric.name","mlp_activation","mlp_dim","mlp_lr","name","parameters.batch_sizes","parameters.cat_embedding_dims","parameters.diffusion_beta_end.distribution","parameters.diffusion_beta_end.max","parameters.diffusion_beta_end.min","parameters.diffusion_beta_start.distribution","parameters.diffusion_beta_start.max","parameters.diffusion_beta_start.min","parameters.diffusion_steps.distribution","parameters.diffusion_steps.max","parameters.diffusion_steps.min","parameters.epochs.distribution","parameters.epochs.max","parameters.epochs.min","parameters.mlp_activations","parameters.mlp_dims","parameters.mlp_lr.distribution","parameters.mlp_lr.max","parameters.mlp_lr.min","Column Pair Trends","Column Shapes","Data Structure","Data Validity","Jensen Shannon Distance","Kolmogorov Smirnov Test","Loss"
"lively-sweep-36","","finished","-","","","2024-07-17T14:19:25.000Z","644","u1uufs3s","5000","4","0.006151349215428361","0.00006118943627009782","831","498","","","","tanh","[2048,2048,2048]","0.0006054521433119611","","","","","","","","","","","","","","","","","","","","","0.5822103981462803","0.9651615789473684","1","1","0.2196525525630154","0.9683336842105263","0.2429417371749878"
"elated-sweep-23","","finished","-","","","2024-07-17T11:13:32.000Z","1108","u1uufs3s","5000","4","0.004112626570434691","0.00020625815277016532","935","877","","","","tanh","[2048,2048,2048]","0.0007931678152173878","","","","","","","","","","","","","","","","","","","","","0.578299312327396","0.9383847368421052","1","1","0.21970764558804332","0.9499552631578948","0.2607344686985016"
"dauntless-sweep-20","","finished","-","","","2024-07-17T08:50:18.000Z","1060","u1uufs3s","5000","2","0.002667196117170257","0.00012485298963338018","976","852","","","","tanh","[2048,2048,2048]","0.000855445800499863","","","","","","","","","","","","","","","","","","","","","0.5754125275973787","0.9300894736842106","1","1","0.2197341563235768","0.9380873684210528","0.4167376160621643"
"gallant-sweep-34","","finished","-","","","2024-07-17T13:59:09.000Z","852","u1uufs3s","5000","2","0.004931422609013862","0.00048100449482884906","688","671","","","","tanh","[2048,2048,2048]","0.0006748689068552236","","","","","","","","","","","","","","","","","","","","","0.5753746746767147","0.9410142105263158","1","1","0.21973442361875503","0.9520747368421056","0.3207140564918518"
"peach-sweep-22","","finished","-","","","2024-07-17T10:59:00.000Z","868","u1uufs3s","5000","2","0.0015286462682856834","0.0003581547995009238","464","687","","","","tanh","[2048,2048,2048]","0.0001560868556809196","","","","","","","","","","","","","","","","","","","","","0.575251577443683","0.9368563157894736","1","1","0.21973726077434813","0.949322105263158","0.45031723380088806"
"peach-sweep-26","","finished","-","","","2024-07-17T12:02:00.000Z","921","u1uufs3s","5000","4","0.005607776521969944","0.0007306113151455414","996","724","","","","relu","[2048,2048,2048]","0.0007985253114380537","","","","","","","","","","","","","","","","","","","","","0.5816727639370536","0.95819","1","1","0.21975970050884952","0.9639010526315788","0.2091597765684128"
"worthy-sweep-37","","finished","-","","","2024-07-17T14:30:15.000Z","1119","u1uufs3s","5000","2","0.007829137258078387","0.0007425982384590368","868","859","","","","tanh","[2048,2048,2048]","0.000352709629780967","","","","","","","","","","","","","","","","","","","","","0.5666115676583723","0.938463684210526","1","1","0.2197621943145702","0.951271578947368","0.25891566276550293"
"curious-sweep-33","","finished","-","","","2024-07-17T13:55:58.000Z","189","u1uufs3s","5000","2","0.001513196738928532","0.0001547318157151963","955","124","","","","relu","[2048,2048,2048]","0.0009640998441460672","","","","","","","","","","","","","","","","","","","","","0.5733351152720767","0.9266431578947368","1","1","0.21976336004481473","0.9394268421052632","0.45466476678848267"
"atomic-sweep-15","","finished","-","","","2024-07-17T09:08:04.000Z","764","u1uufs3s","5000","2","0.004552098223032467","0.0004664993646472165","994","600","","","","tanh","[2048,2048,2048]","0.0009550269783207648","","","","","","","","","","","","","","","","","","","","","0.575046012614379","0.9393536842105262","1","1","0.2197634470251155","0.946356315789474","0.33582744002342224"
"driven-sweep-20","","finished","-","","","2024-07-17T10:11:53.000Z","739","u1uufs3s","5000","2","0.004994967738036518","0.0003352349753877384","929","586","","","","tanh","[2048,2048,2048]","0.000332796599981101","","","","","","","","","","","","","","","","","","","","","0.5728674041346675","0.9368294736842104","1","1","0.21976426092051943","0.948845263157895","0.34344804286956787"
